File,Vulns,Trivy,Checkov,Kubeaudit,KubeLinter,Polaris,KubeScore,Kubescape,Conftest (OPA),KubeConform,RBAC-Police,Pluto,Gitleaks,Yamllint
16.busybox_pod_missing_memory.yaml,Default capabilities not dropped,✔,✔,✔,,✔,,✔,✔,,,,,
16.busybox_pod_missing_memory.yaml,Default namespace,✔,✔,✔,✔,,,✔,,,,,,
16.busybox_pod_missing_memory.yaml,Default service account token mounted,,✔,✔,,✔,,✔,✔,,,,,
16.busybox_pod_missing_memory.yaml,Deployment selector missing,,,,,,,✔,,,,,,
16.busybox_pod_missing_memory.yaml,Docker socket mounted,,,,,,,✔,,,,,,
16.busybox_pod_missing_memory.yaml,Filesystem not read-only,✔,✔,✔,✔,✔,✔,✔,✔,,,,,
16.busybox_pod_missing_memory.yaml,Image not pinned by digest,,✔,,,✔,,,,,,,,
16.busybox_pod_missing_memory.yaml,ImagePullPolicy not Always,✔,,,,✔,,✔,,,,,,
16.busybox_pod_missing_memory.yaml,Ingress backend not found,,,,,✔,✔,✔,,,,,,
16.busybox_pod_missing_memory.yaml,NetworkPolicy missing selectors,,✔,,,✔,✔,✔,,,,,,
16.busybox_pod_missing_memory.yaml,No AppArmor profile,,,✔,,✔,,,✔,,,,,
16.busybox_pod_missing_memory.yaml,No CPU limit,✔,✔,,,✔,✔,✔,✔,,,,,
16.busybox_pod_missing_memory.yaml,No CPU request,✔,,,,✔,✔,✔,,,,,,
16.busybox_pod_missing_memory.yaml,No TLS configured (Ingress),,,,,✔,,✔,,,,,,
16.busybox_pod_missing_memory.yaml,No livenessProbe,,✔,,,✔,,✔,✔,,,,,
16.busybox_pod_missing_memory.yaml,No memory limit,✔,✔,,✔,✔,✔,✔,✔,,,,,
16.busybox_pod_missing_memory.yaml,No memory request,✔,✔,,✔,✔,✔,✔,✔,,,,,
16.busybox_pod_missing_memory.yaml,No network policy,,✔,,,✔,✔,,✔,,,,,
16.busybox_pod_missing_memory.yaml,No readinessProbe,,✔,,,✔,,✔,✔,,,,,
16.busybox_pod_missing_memory.yaml,No seccomp profile,✔,✔,✔,,✔,,✔,✔,,,,,
16.busybox_pod_missing_memory.yaml,No security context,✔,✔,✔,✔,,✔,✔,✔,,,,,
16.busybox_pod_missing_memory.yaml,Privilege escalation allowed,✔,✔,✔,,✔,,✔,✔,,,,,
16.busybox_pod_missing_memory.yaml,Privileged container,✔,,,,✔,,✔,,,,,,
16.busybox_pod_missing_memory.yaml,Runs as root user,✔,✔,✔,✔,✔,✔,✔,✔,,,,,
16.busybox_pod_missing_memory.yaml,Single replica (non-HA),,,,,,,✔,,,,,,
16.busybox_pod_missing_memory.yaml,Unencrypted Secret,,,,,,,✔,,,,,,
16.busybox_pod_missing_memory.yaml,Using latest tag,,✔,,,✔,,✔,,,,,,

20.wordpress_mariadb_compose.yaml,Default capabilities not dropped,,,,,✔,,,,,,,,
20.wordpress_mariadb_compose.yaml,Default service account token mounted,,,,,✔,,,,,,,,
20.wordpress_mariadb_compose.yaml,Filesystem not read-only,,,,,✔,,,,,,,,
20.wordpress_mariadb_compose.yaml,Image not pinned by digest,,,,,✔,,,,,,,,
20.wordpress_mariadb_compose.yaml,ImagePullPolicy not Always,,,,,✔,,,,,,,,
20.wordpress_mariadb_compose.yaml,Ingress backend not found,,,,,✔,,,,,,,,
20.wordpress_mariadb_compose.yaml,NetworkPolicy missing selectors,,,,,✔,,,,,,,,
20.wordpress_mariadb_compose.yaml,No AppArmor profile,,,,,✔,,,,,,,,
20.wordpress_mariadb_compose.yaml,No CPU limit,,,,,✔,,,,,,,,
20.wordpress_mariadb_compose.yaml,No CPU request,,,,,✔,,,,,,,,
20.wordpress_mariadb_compose.yaml,No TLS configured (Ingress),,,,,✔,,,,,,,,
20.wordpress_mariadb_compose.yaml,No livenessProbe,,,,,✔,,,,,,,,
20.wordpress_mariadb_compose.yaml,No memory limit,,,,,✔,,,,,,,,
20.wordpress_mariadb_compose.yaml,No memory request,,,,,✔,,,,,,,,
20.wordpress_mariadb_compose.yaml,No network policy,,,,,✔,,,,,,,,
20.wordpress_mariadb_compose.yaml,No readinessProbe,,,,,✔,,,,,,,,
20.wordpress_mariadb_compose.yaml,No seccomp profile,,,,,✔,,,,,,,,
20.wordpress_mariadb_compose.yaml,Privilege escalation allowed,,,,,✔,,,,,,,,
20.wordpress_mariadb_compose.yaml,Privileged container,,,,,✔,,,,,,,,
20.wordpress_mariadb_compose.yaml,Runs as root user,,,,,✔,,,✔,,,,,
20.wordpress_mariadb_compose.yaml,Unencrypted Secret,,,,,,,,,,,,✔,
20.wordpress_mariadb_compose.yaml,Using latest tag,,,,,✔,,,,,,,,

26.flink_port_mismatch.yaml,Default capabilities not dropped,✔,✔,✔,,✔,,✔,,,,,,
26.flink_port_mismatch.yaml,Default namespace,✔,✔,,✔,,,✔,✔,,,,,
26.flink_port_mismatch.yaml,Default service account token mounted,,✔,✔,,✔,,✔,✔,,,,,
26.flink_port_mismatch.yaml,Deployment selector missing,,,,,,,✔,,,,,,
